,Course,Grade,Credits,Points,Term,Points,Credits,GPA,Cum,nGPA,Grade,Points
Fall2008,CHEM103,C+,4,9.2,Fall2008,43.20,14.00,3.086,3.086,3.086,A+,4
Fall2008,FIQWS10026,A,4,16,Spring2009,27.30,10.00,2.730,2.938,2.938,A,4
Fall2008,MATH195,C+,3,6.9,Fall2009,28.10,8.00,3.513,3.081,3.081,A-,3.7
Fall2008,SPCH11100,A-,3,11.1,Spring2010,40.90,13.00,3.146,3.100,3.100,B+,3.3
Spring2009,ANTH 10100,B,3,9,Fall2010,5.10,9.00,0.567,2.678,2.678,B,3
Spring2009,BIO10100,B+,4,13.2,Spring2011,10.00,13.00,0.769,2.307,2.307,B-,2.7
Spring2009,Engl21007,C-,3,5.1,Fall2011,14.10,9.00,1.567,2.220,2.220,C+,2.3
Fall2009,Eco1000,B-,3,8.1,Fall2012,6.00,13.00,0.462,1.963,1.963,C,2
Fall2009,ME14500,A+,2,8,Fall2016,23.10,6.00,3.850,2.082,3.850,C-,1.7
Fall2009,WHUM101,A+,3,12,Spring2017,40.00,10.00,4.000,2.265,3.944,D+,1.3
Spring2010,BIO321,B+,3,9.9,Fall2017,43.20,12.00,3.600,2.402,3.796,D,1
Spring2010,ECO103,A-,3,11.1,Winter2018,12.00,3.00,4.000,2.442,3.816,D-,0.7
Spring2010,EXO220,B+,3,9.9,Spring2018,69.00,18.00,3.833,2.623,3.822,F,0
Spring2010,EDU319,A,1,4,Fall2018,40.00,10.00,4.000,2.716,3.853,,
Spring2010,MATH201,C,3,6,Spring2019,12.00,3.00,4.000,2.742,3.860,,
Fall2010,ECO240,F,3,0,Fall2019,12.00,3.00,4.000,2.766,3.866,,
Fall2010,MATH202,F,3,0,Summer2020,12.00,3.00,4.000,2.790,3.872,,
Fall2010,PSY102,C-,3,5.1,Fall2020,24.00,6.00,4.000,2.834,3.882,,
Spring2011,CSC102,C,3,6,Spring2021,48.00,12.00,4.000,2.914,3.899,,
Spring2011,HIST493,F,3,0,,,,,,,,
Spring2011,MATH202,F,3,0,,,,,,,,
Spring2011,PSY215,D,4,4,,,,89.00,,,,
FALL2011,ECO31101,C-,3,5.1,,,,59.00,,,,
Fall2011,ECO3600,B,3,9,,,,,,,,
Fall2011,HIST471,F,3,0,,,,,,,,
FALL2012,ECO10150,D,3,3,,,,,,,,
FALL2012,ECO20350,D,3,3,,,,,,,,
FALL2012,MATH20200,F,3,0,,,,,,,,
FALL2012,PHYS20700,F,4,0,,,,,,,,
FALL2016,ARAB123,A,3,12,,,,,,,,
FALL2016,ECO10150,A-,3,11.1,,,,,,,,
SPRING2017,ECO20150,A,4,16,,,,,,,,
SPRING2017,ECO21250,A,3,12,,,,,,,,
SPRING2017,ECO21350,A,3,12,,,,,,,,
FALL2017,ECO20350,B,3,9,,,,,,,,
FALL2017,ECO31250,A-,3,11.1,,,,,,,,
FALL2017,ARAB124,A,3,12,,,,,,,,
FALL2017,ECO12400,A-,3,11.1,,,,,,,,
WINTER2018,MUS101,A+,3,12,,,,,,,,
SPRING2018,ECO32350,A+,3,12,,,,,,,,
SPRING2018,ECO22250,A,3,12,,,,,,,,
SPRING2018,ECO21450,A,3,12,,,,,,,,
SPRING2018,ECO32250,A+,3,12,,,,,,,,
SPRING2018,HIST24100,B,3,9,,,,,,,,
SPRING2018,PHIL10200,A+,3,12,,,,,,,,
FALL2018,ARAB22600,A,3,12,,,,,,,,
FALL2018,ECO33150,A,4,16,,,,,,,,
FALL2018,ECO42150,A,3,12,,,,,,,,
SPRING2019,CIS2200,A,3,12,,,,,,,,
FALL2019,CIS2300,A,3,12,,,,,,,,
SUMMER2020,CIS3920,A,3,12,,,,,,,,
FALL2020,CIS3120,A,3,12,,,,,,,,
FALL2020,CIS3400,A,3,12,,,,,,,,
SPRING2021,,A,3,12,,,,,,,,
SPRING2021,,A,3,12,,,,,,,,
SPRING2021,,A,3,12,,,,,,,,
SPRING2021,,A,3,12,,,,,,,,
,,Total:,175,510,,,,,,,,
,[42],,,,,,,,,,,
,Total Projected Hours,#REF!,,,,,,,,,,
,Total Projected Points,#REF!,,,,,,,,,,
,Projected GPA,#REF!,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"This GPA calculator is intended for general information and planning purposes only, but the calculations",,,,,,,,,,,
,"may not follow your institution's policies exactly, particularly regarding the effect of retaking a course.",,,,,,,,,,,
